rel_time_ms,sensor,value
2119.65,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
2119.65,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2220.84,Illuminance.Room518a_Ceiling,184.17
2220.84,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2220.84,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2220.84,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2220.84,TSL2_Keyboard_spec.Room518a_WP2,792.0
2220.84,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2220.84,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2220.84,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
2220.84,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2322.0,Illuminance.Room518a_Ceiling,184.17
2322.0,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2322.0,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2322.0,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2322.0,TSL2_Keyboard_spec.Room518a_WP2,792.0
2322.0,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2322.0,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2322.0,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
2322.0,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2423.19,Illuminance.Room518a_Ceiling,184.17
2423.19,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2423.19,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2423.19,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2423.19,TSL2_Keyboard_spec.Room518a_WP2,792.0
2423.19,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2423.19,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2423.19,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
2423.19,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2523.71,Illuminance.Room518a_Ceiling,184.17
2523.71,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2523.71,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2523.71,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2523.71,TSL2_Keyboard_spec.Room518a_WP2,792.0
2523.71,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2523.71,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2523.71,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
2523.71,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2624.89,Illuminance.Room518a_Ceiling,184.17
2624.89,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2624.89,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2624.89,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2624.89,TSL2_Keyboard_spec.Room518a_WP2,792.0
2624.89,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2624.89,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2624.89,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
2624.89,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2726.03,Illuminance.Room518a_Ceiling,184.17
2726.03,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2726.03,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2726.03,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2726.03,TSL2_Keyboard_spec.Room518a_WP2,792.0
2726.03,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2726.03,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2726.03,TSL4_UpperScreen_spec.Room518a_WP1,1422.0
2726.03,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2827.24,Illuminance.Room518a_Ceiling,184.17
2827.24,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2827.24,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2827.24,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2827.24,TSL2_Keyboard_spec.Room518a_WP2,792.0
2827.24,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2827.24,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2827.24,TSL4_UpperScreen_spec.Room518a_WP1,1422.0
2827.24,TSL4_UpperScreen_spec.Room518a_WP2,1275.0
2927.48,Illuminance.Room518a_Ceiling,184.17
2927.48,TSL1_LowerScreen_spec.Room518a_WP1,685.0
